Date,gold,oil,tsx,vix
2012-07-09,1618.87,86.8992,11634.67,21.19
2012-07-10,1614.83,86.0352,11512.22,22.11
2012-07-11,1606.04,87.8401,11544.64,21.43
2012-07-12,1594.88,87.5299,11425.47,21.57
2012-07-13,1614.53,88.3178,11514.53,20.25
2012-07-16,1615.27,89.4078,11521.18,19.37
2012-07-17,1608.56,90.1874,11571.19,19.28
2012-07-18,1586.42,90.8065,11579.15,18.51
2012-07-19,1592.2,93.0666,11665.7,17.93
2012-07-20,1602.69,92.7527,11622.91,17.66
2012-07-23,1606.99,89.6075,11545.54,18.88
2012-07-24,1610.13,89.9784,11466.95,20.18
2012-07-25,1632.65,90.2531,11492.51,19.08
2012-07-26,1630.98,90.2315,11639.75,17.64
2012-07-27,1622.77,90.4315,11766.36,17.49
2012-07-30,1622.95,89.8136,11757.88,18.26
2012-07-31,1615.35,88.0383,11664.71,19.64
2012-08-01,1612.57,89.1822,11618.53,19.1
2012-08-02,1598.75,88.0794,11506.5,18.6
2012-08-03,1607.77,91.4879,11662.59,16.69
2012-08-07,1604.89,93.1641,11863.5,16.43
2012-08-08,1604.08,92.8885,11781.04,17.31
2012-08-09,1602.99,92.88799999999999,11858.13,16.7
2012-08-10,1605.57,92.544,11890.89,16.53
2012-08-13,1597.46,91.9981,11838.33,16.58
2012-08-14,1586.55,92.4329,11853.61,14.6
2012-08-15,1586.25,93.3343,11905.44,14.87
2012-08-16,1594.57,93.9678,12032.58,16.0
2012-08-17,1599.03,95.1676,12089.89,15.53
2012-08-20,1601.21,94.9904,12076.03,16.1
2012-08-21,1621.9,95.7811,12116.92,15.69
2012-08-22,1623.12,96.3399,12118.99,15.06
2012-08-23,1659.15,95.3525,12062.51,17.48
2012-08-24,1657.21,95.3619,12082.23,15.85
2012-08-27,1656.83,94.73200000000001,12048.82,16.57
2012-08-28,1647.06,95.0993,12009.9,17.27
2012-08-29,1642.55,94.3007,12009.79,17.11
2012-08-30,1640.87,93.9767,11886.65,18.69
2012-08-31,1661.83,95.1012,11949.26,18.34
2012-09-04,1669.03,94.2182,11941.7,19.25
2012-09-05,1673.89,94.98899999999999,11990.14,18.44
2012-09-06,1672.99,93.0982,12139.73,16.92
2012-09-07,1700.26,94.2994,12268.01,15.76
2012-09-10,1690.16,94.0448,12215.43,17.85
2012-09-11,1685.78,94.1872,12220.45,17.66
2012-09-12,1689.38,94.4986,12232.62,17.09
2012-09-13,1714.08,95.1756,12360.16,15.78
2012-09-14,1718.92,96.137,12499.47,15.47
2012-09-17,1723.07,94.2011,12446.86,16.56
2012-09-18,1723.42,93.1529,12422.71,16.16
2012-09-19,1724.34,89.7678,12436.16,15.58
2012-09-20,1726.78,90.7232,12409.25,14.98
2012-09-21,1734.23,90.8763,12383.6,15.22
2012-09-24,1724.34,90.0639,12313.54,15.23
2012-09-25,1729.55,89.1468,12257.18,15.96
2012-09-26,1725.24,88.7265,12232.86,16.01
2012-09-27,1743.43,90.4801,12338.85,14.95
2012-09-28,1741.32,90.5264,12317.46,15.18
2012-10-01,1749.19,90.7614,12370.19,15.28
2012-10-02,1744.78,90.2549,12391.23,15.6
2012-10-03,1755.18,86.9581,12359.47,15.53
2012-10-04,1758.75,89.7387,12447.68,14.46
2012-10-05,1740.65,88.0003,12418.99,14.92
2012-10-09,1724.54,90.0055,12273.57,16.32
2012-10-10,1732.19,89.6425,12212.42,15.67
2012-10-11,1730.72,90.3873,12233.95,16.15
2012-10-12,1722.18,89.7977,12202.04,16.58
2012-10-15,1702.29,90.0114,12229.96,16.03
2012-10-16,1720.61,91.0062,12407.7,15.51
2012-10-17,1713.13,89.9572,12461.25,15.07
2012-10-18,1717.88,90.6387,12466.12,14.3
2012-10-19,1711.33,89.9364,12415.98,14.74
2012-10-22,1711.92,88.5052,12403.54,14.77
2012-10-23,1695.25,85.9375,12225.84,16.39
2012-10-24,1689.69,85.3171,12195.02,16.54
2012-10-25,1703.31,85.8093,12300.23,15.86
2012-10-26,1705.95,85.9051,12300.3,16.03
2012-10-29,1709.24,85.3616,12312.75,17.19
2012-10-30,1708.96,85.6913,12377.05,16.03
2012-10-31,1717.33,86.1359,12422.91,16.36
2012-11-01,1708.29,86.5852,12499.76,15.94
2012-11-02,1667.43,84.4789,12380.41,16.66
2012-11-05,1676.5,85.4234,12352.78,17.37
2012-11-06,1700.16,87.5436,12361.2,17.8
2012-11-07,1706.71,84.3927,12230.59,18.27
2012-11-08,1725.92,85.0657,12191.05,17.72
2012-11-09,1731.86,86.2118,12196.8,17.48
2012-11-12,1729.26,85.4227,12191.46,17.85
