,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.9999522,42
404,404Coin,Scrypt,PoW/PoS,1694256.64418369,532000000
1337,EliteCoin,X13,PoW/PoS,29494874210.0477,314159265359
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862,22000000
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,PoW,6274445,21000000
KOBO,KoboCoin,X15,PoW/PoS,25613424.1979845,350000000
ARG,Argentum,Scrypt,PoW,13834546.4449549,64000000
BLU,BlueCoin,Scrypt,PoW/PoS,647272555,0
XMY,MyriadCoin,Multiple,PoW,1752493250,2000000000
MOON,MoonCoin,Scrypt,PoW,88,384000000000
ZET,ZetaCoin,SHA-256,PoW,172579013.754849,169795588
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,PoW/PoS,124225080.212678,0
QRK,QuarkCoin,Quark,PoW,266576735.30125,247000000
RIC,Riecoin,Groestl,PoW,55515735.1411784,84000000
DGC,Digitalcoin ,Scrypt,PoW,36253723.3440364,48166000
BTB,BitBar,Scrypt,PoW/PoS,47508.328378,500000
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,PoW/PoS,1060479.16740749,1000000
CCN,CannaCoin,Scrypt,PoW,4704239.59407949,13140000
CRYPT,CryptCoin,X11,PoW,5011180.67672822,18000000
DVC,DevCoin,SHA-256,PoW,21551562500,21000000000
EAC,EarthCoin,Scrypt,PoW,12744695609.8043,13500000000
EFL,E-Gulden,Scrypt,PoW,20965100.2906249,21000000 
EMD,Emerald,Scrypt,PoW,19658988.11025,32000000
EXCL,Exclusive Coin,PoS,PoS,5851627,0
FLT,FlutterCoin,Scrypt,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,PoW,1423483.64912776,11235813
GDC,GrandCoin,Scrypt,PoW,884125802,1420609614
GLC,GlobalCoin,Scrypt,PoW,65672720.4708748,70000000
GLD,GoldCoin,Scrypt,PoW,41658647.9999715,72245700
HBN,HoboNickels,Scrypt,PoW/PoS,110110209.340626,120000000
HYP,HyperStake,X11,PoS,1679489617.8343,0
IFC,Infinite Coin,Scrypt,PoW,90595753018.6314,90600000000
IXC,IXcoin,SHA-256,PoW,21141900,21000000
KGC,KrugerCoin,Scrypt,PoW,151447649.8,265420800
LKY,LuckyCoin,Scrypt,PoW,19326319.14375,20000000
LTB,Litebar ,Scrypt,PoW,1277522.64791035,1350000
MAX,MaxCoin,SHA3,PoW/PoS,61445805,100000000
MED,MediterraneanCoin,HybridScryptHash256,PoW,40431856.9,200000000
MINT,MintCoin,Scrypt,PoS,21293925445.4969,0
MZC,MazaCoin,SHA-256,PoW/PoS,1768350599.99999,2419200000
NAUT,Nautilus Coin,Scrypt,PoS,16180000,16180000
NOBL,NobleCoin,Scrypt,PoW,2370042128.54439,15000000000
NYAN,NyanCoin,Scrypt,PoW,338119552.905013,337000000
ORB,Orbitcoin,NeoScrypt,PoW/PoS,3220616.279225,3770000
PXC,PhoenixCoin,Scrypt,PoW/PoS,73959274.625,98000000
RPC,RonPaulCoin,Scrypt,PoW,1136472.42169891,21000000
SBC,StableCoin,Scrypt,PoW,24215181.725,250000000
SMC,SmartCoin,Scrypt,PoW,29065105.3934554,51200000
SUPER,SuperCoin,X11,PoS,52821092.1424223,0
SYNC,SyncCoin,X11,PoW/PoS,1177,1000
TES,TeslaCoin,Multiple,PoS,82756569.0360188,100000000
TGC,TigerCoin,SHA-256,PoW,43536800,47011968
TOR,TorCoin,X11,PoW/PoS,1431851.00002479,10000000
TRC,TerraCoin,SHA-256,PoW,22935396,42000000
UNB,UnbreakableCoin,SHA-256,PoW,2278150,80000000
UNO,Unobtanium,SHA-256,PoW,202817.98151896,250000
URO,UroCoin,X11,PoW,1207310,0
USDE,UnitaryStatus Dollar,Scrypt,PoW/PoS,1098952592.6,1600000000
UTC,UltraCoin,Scrypt,PoW/PoS,50235211.141939,100000000
VRC,VeriCoin,Scrypt,PoST,33100419.4819762,0
WDC,WorldCoin,Scrypt,PoW,119606941,265420800
XC,X11 Coin,X11,PoW/PoS,7527167.06124618,5500000
XCR,Crypti,Multiple,PoS,100000000,0
XJO,JouleCoin,SHA-256,PoW,40497287.362088,45000000
XST,StealthCoin,X13,PoW/PoS,37151402.7665647,0
ZCC,ZCC Coin,Scrypt,PoW/PoS,176528254.676634,1000000000
SJCX,StorjCoin,Counterparty,PoS,51173144,500000000
MONA,MonaCoin,Scrypt,PoW,68194674.8711679,105120000
NTRN,Neutron,SHA-256,PoW/PoS,39121694,68000000
RBY,RubyCoin,Scrypt,PoS,27600426.3918338,0
PTC,PesetaCoin,Scrypt,PoW,137517654.41397,166386000
KORE,Kore,X13,PoW/PoS,2022464.886973,12000000
WBB,Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
NOTE,Dnotes,Scrypt,PoS,359676545.720386,500000000
FLO,Flo,Scrypt,PoW,155682614.810007,160000000
8BIT,8BIT Coin,Scrypt,PoW/PoS,1467841,0
STV,Sativa Coin,X13,PoW/PoS,7096834,10000000
J,JoinCoin,Multiple,PoW,3411636.5,2800000
ABY,ArtByte,Scrypt,PoW,792537250,1000000000
LDOGE,LiteDoge,Scrypt,PoW/PoS,16422580992.334,35000000000
FLDC,Folding Coin,Stanford Folding,PoW,719416990,1000000000
SLR,SolarCoin,Scrypt,PoW,61142434.4637909,98100000000
TRK,TruckCoin,X11,PoW/PoS,242574105.22384,0
U,Ucoin,X11,PoS,2689812,20000000
UIS,Unitus,Multiple,PoW,65113302,0
CYP,CypherPunkCoin,QuBit,PoW,6365285,0
UFO,UFO Coin,NeoScrypt,PoW,3917357601,4000000000
OC,OrangeCoin,Scrypt,PoW/PoS,3537150,200000000
FSC,FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145
BLC,BlakeCoin,Blake,PoW,27690525.7282995,7000000000
OMC,OmniCron,Scrypt,PoW,10140044.4430293,3371337
BITS,BitstarCoin,Scrypt,PoW/PoS,21145102,54256119
NEOS,NeosCoin,SHA-256,PoS,4392258.24647793,21000000
HYPER,HyperCoin,Scrypt,PoW/PoS,9631199.99309942,0
VTR,Vtorrent,Scrypt,PoW/PoS,11604722,20000000
PINK,PinkCoin,X11,PoW/PoS,446875116.150699,500000000
GRE,GreenCoin,Scrypt,PoW,4610340640.89,10000000000
XCN,Cryptonite,M7 POW,PoW,708506520,1840000000
XBC,BitcoinPlus,Scrypt,PoS,147438.29253635,1000000
MSC,MasterCoin,Scrypt,PoW,619478,619478
SOON,SoonCoin,SHA-256,PoW,12462620,21000000
1CR,1Credit,Scrypt,PoW,88213,92000000000
ISL,IslaCoin,X11,PoW/PoS,1513704,0
CESC,Crypto Escudo,Scrypt,PoW,785989520,1000000000
ADC,AudioCoin,Scrypt,PoW/PoS,980732528.97974,10500000000
MARS,MarsCoin ,X11,PoW,32221574.820996,33000000
CTO,Crypto,Lyra2RE,PoW,13742738,65789100
ACP,Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
DRZ,Droidz,QUAIT,PoW/PoS,8568782.18599603,5060000
BSC,BowsCoin,X11,PoW,15863837.5,21000000
NKA,IncaKoin,SHA-256,PoW/PoS,17939725045.334,190000000
SQL,Squall Coin,X11,PoS/PoW,329200.01639,0
PIGGY,Piggy Coin,X11,PoW/PoS,495306883.993837,1000000000
SONG,Song Coin,Scrypt,PoW,32565300,210240000
SMLY,SmileyCoin,Scrypt,PoW,31477009218.9213,50000000000
ZNY,BitZeny,Scrypt,PoW,75614500,250000000
DIGS,Diggits,Scrypt,PoS,100000000,100000000
MI,XiaoMiCoin,Scrypt,PoW/PoS,404316475.545465,400000000
CON,Paycon,X13,PoW/PoS,5000000000,50000000
CPC,CapriCoin,X11,PoW/PoS,201396820.177501,208000000
CLUB, ClubCoin,Scrypt,PoW/PoS,103621876.167052,160000000
RADS,Radium,PoS,PoS,4134719.00491401,9000000
EGC,EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MND,MindCoin,X11,PoW,15867695,16000000
I0C,I0coin,SHA-256,PoW,20999181.8160415,21000000
PAK,Pakcoin,Scrypt,PoW,72280945.0187002,182000000
CRB,Creditbit ,X11,Proof of Trust,16901016.6609755,16504333
OK,OKCash,SHA-256,PoW/PoS,76956187.4188668,105000000
RVR,Revolution VR,Scrypt,PoW,210000000,210000000
HODL,HOdlcoin,1GB AES Pattern Search,PoW,11448949,81962100
EDRC,EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
HTC,Hitcoin,X11,PoW/PoS,10996318099,26550000000
DBIC,DubaiCoin,SHA-256,PoW/PoS,5129014,10500000
XHI,HiCoin,Scrypt,PoS,10000244677.7002,10008835635
DIEM,CarpeDiemCoin,SHA-256,PoW,21739971929,21626280000 
PWR,PWR Coin,NIST5,PoW/PoS,10209853184.2096,0
BLRY,BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
INFX,Influxcoin,X11,PoW/PoS,3065934.04117629,12000000
SOIL,SoilCoin,Dagger,PoW,5702048,30000000
